company,role,principle_name,principle_description,question,question_type,difficulty,source
Oracle,Leadership,Innovation,Creating breakthrough enterprise solutions,"Tell me about a time when you led the development of an innovative solution that transformed business operations.",Leadership,High,Oracle Values
Oracle,Mid Level,Collaboration,Working together to solve complex enterprise challenges,"Describe a complex project where collaboration across multiple teams was essential to success.",Teamwork,Medium,Oracle Values
Oracle,Entry Level,Integrity,Conducting business with honesty and ethical behavior,"Tell me about a time when you maintained integrity in a situation where it would have been easier to compromise.",Values,Medium,Oracle Values
ServiceNow,Mid Level,Great Place to Work,Creating an environment where everyone can thrive,"Tell me about a time when you contributed to creating a positive work environment for your colleagues.",Values,Medium,ServiceNow Values
ServiceNow,Senior,Customer Workflows,Improving how work gets done for customers,"Describe when you improved a process or workflow that significantly benefited customers or stakeholders.",Culture Fit,High,ServiceNow Values
ServiceNow,Leadership,Innovation,Creating breakthrough workflow solutions,"Give me an example of when you led an innovative project that fundamentally improved how work gets done.",Leadership,High,ServiceNow Values
ServiceNow,Entry Level,Inclusion,Ensuring everyone feels valued and can contribute their best,"Tell me about a time when you helped create an inclusive environment where everyone could contribute.",Values,Low,ServiceNow Values
Snowflake,Mid Level,Customer Obsession,Putting customers at the center of everything we do,"Tell me about a time when you went above and beyond to solve a customer's data or analytics challenge.",Culture Fit,Medium,Snowflake Values
Snowflake,Senior,Innovation,Creating breakthrough data cloud solutions,"Describe when you innovated to solve a complex data or technology problem that others couldn't solve.",Leadership,High,Snowflake Values
Snowflake,Leadership,Execution,Delivering results through superior execution and focus,"Give me an example of when you executed a complex technical or business initiative with exceptional results.",Leadership,High,Snowflake Values
Snowflake,Entry Level,Integrity,Maintaining honesty and transparency in all interactions,"Tell me about a situation where transparency and honesty were crucial to achieving a positive outcome.",Values,Medium,Snowflake Values
Palantir,Senior,Mission Focus,Solving important problems that matter to society,"Give me an example of when you worked on a project that had significant positive impact on important challenges.",Culture Fit,High,Palantir Values
Palantir,Leadership,Engineering Excellence,Building robust and scalable solutions,"Tell me about a time when you led the development of a solution that met demanding technical requirements.",Leadership,High,Palantir Values
Palantir,Mid Level,Customer Partnership,Working closely with customers to solve their hardest problems,"Describe a situation where you partnered closely with stakeholders to solve a complex problem.",Teamwork,Medium,Palantir Values
Palantir,Entry Level,Intellectual Curiosity,Continuously learning and exploring new approaches,"Tell me about a time when your curiosity led you to discover a better way to approach a problem.",Values,Low,Palantir Values
Block,Mid Level,Customer Obsession,Building products that customers love,"Tell me about a time when you designed or improved something based on deep understanding of customer needs.",Culture Fit,Medium,Block Values
Block,Senior,Innovation,Creating breakthrough financial technology solutions,"Describe when you led an innovative project that created new value or capabilities for users.",Leadership,High,Block Values
Block,Leadership,Execution,Moving quickly to deliver results,"Give me an example of when you executed a project with speed and precision to capture an important opportunity.",Leadership,High,Block Values
Block,Entry Level,Transparency,Communicating openly and honestly,"Tell me about a time when your transparent communication helped build trust and achieve better outcomes.",Values,Low,Block Values
Visa,Senior,Client Focus,Putting clients at the center of everything we do,"Give me an example of when you prioritized client needs and delivered exceptional value despite challenges.",Culture Fit,High,Visa Values
Visa,Leadership,Innovation,Creating breakthrough payment solutions,"Tell me about a time when you led an innovative initiative that improved payment experiences or capabilities.",Leadership,High,Visa Values
Visa,Mid Level,Partnership,Building strong relationships to drive mutual success,"Describe how you've built and maintained important partnerships that drove business results.",Teamwork,Medium,Visa Values
Visa,Entry Level,Integrity,Maintaining the highest ethical standards,"Tell me about a situation where you maintained ethical standards despite pressure or temptation to compromise.",Values,Medium,Visa Values
Mastercard,Mid Level,Decency,Treating people with respect and dignity,"Tell me about a time when you demonstrated respect and kindness in a challenging interpersonal situation.",Values,Medium,Mastercard Values
Mastercard,Senior,Innovation,Creating breakthrough payment and technology solutions,"Describe when you championed an innovative solution that transformed how people experience payments.",Leadership,High,Mastercard Values
Mastercard,Leadership,Inclusion,Creating opportunities for everyone to participate in the digital economy,"Give me an example of how you've created opportunities for underrepresented groups or expanded access.",Leadership,High,Mastercard Values
Mastercard,Entry Level,Curiosity,Continuously learning and exploring new possibilities,"Tell me about a time when your curiosity led you to learn something new that improved your effectiveness.",Values,Low,Mastercard Values
UnitedHealth,Senior,Integrity,Doing what's right for patients and the healthcare system,"Give me an example of when you made a decision that prioritized patient outcomes over other considerations.",Values,High,UnitedHealth Values
UnitedHealth,Leadership,Innovation,Finding new ways to improve healthcare outcomes and accessibility,"Tell me about a time when you led an innovative approach that improved healthcare delivery or patient experience.",Leadership,High,UnitedHealth Values
UnitedHealth,Mid Level,Collaboration,Working together to improve healthcare for everyone,"Describe a successful collaboration across different healthcare functions to improve patient outcomes.",Teamwork,Medium,UnitedHealth Values
UnitedHealth,Entry Level,Customer Focus,Putting patients and customers at the center of decisions,"Tell me about a time when you advocated for patient or customer needs in a challenging situation.",Culture Fit,Medium,UnitedHealth Values
CVS Health,Mid Level,Integrity,Acting with honesty and maintaining ethical standards in healthcare,"Tell me about a time when you maintained integrity in a healthcare situation despite pressure or challenges.",Values,Medium,CVS Health Values
CVS Health,Senior,Innovation,Creating new solutions to improve health outcomes,"Describe when you developed or implemented an innovative approach that improved health outcomes or access.",Leadership,High,CVS Health Values
CVS Health,Leadership,Customer Focus,Making healthcare more accessible and affordable,"Give me an example of when you improved healthcare access or affordability for customers or patients.",Leadership,High,CVS Health Values
CVS Health,Entry Level,Caring,Demonstrating compassion in all healthcare interactions,"Tell me about a time when your compassion and caring made a difference in someone's healthcare experience.",Culture Fit,Low,CVS Health Values
Moderna,Senior,Patient Focus,Putting patients at the center of everything we do,"Give me an example of when you made a decision that prioritized patient benefit over other considerations.",Values,High,Moderna Values
Moderna,Leadership,Innovation,Pioneering breakthrough mRNA therapies and vaccines,"Tell me about a time when you led an innovative project that could have significant impact on human health.",Leadership,High,Moderna Values
Moderna,Mid Level,Urgency,Moving quickly to address important health challenges,"Describe a situation where your sense of urgency was crucial to achieving important health or scientific outcomes.",Culture Fit,Medium,Moderna Values
Moderna,Entry Level,Scientific Excellence,Maintaining the highest standards in research and development,"Tell me about a time when you maintained rigorous scientific or quality standards despite pressure.",Values,Medium,Moderna Values
Lockheed Martin,Senior,Ethics,Maintaining the highest ethical standards in defense and aerospace,"Give me an example of when you maintained ethical standards in a situation involving national security or safety.",Values,High,Lockheed Martin Values
Lockheed Martin,Leadership,Innovation,Developing breakthrough defense and aerospace technologies,"Tell me about a time when you led the development of an innovative solution that advanced mission capabilities.",Leadership,High,Lockheed Martin Values
Lockheed Martin,Mid Level,Excellence,Pursuing outstanding performance in mission-critical systems,"Describe how you've ensured excellence in work that has critical safety or security implications.",Culture Fit,Medium,Lockheed Martin Values
Lockheed Martin,Entry Level,Teamwork,Collaborating to deliver complex defense solutions,"Tell me about a successful collaboration on a complex project where teamwork was essential to success.",Teamwork,Low,Lockheed Martin Values
SpaceX,Mid Level,Mission Focus,Advancing the goal of making life multiplanetary,"Tell me about a time when you worked on something that contributed to an ambitious long-term mission or vision.",Culture Fit,Medium,SpaceX Values
SpaceX,Senior,Innovation,Pioneering breakthrough space technologies,"Describe when you developed or contributed to an innovative solution that pushed technological boundaries.",Leadership,High,SpaceX Values
SpaceX,Leadership,Execution Excellence,Delivering results in high-stakes environments,"Give me an example of when you delivered exceptional results under extreme pressure or challenging conditions.",Leadership,High,SpaceX Values
SpaceX,Entry Level,Problem Solving,Finding creative solutions to complex engineering challenges,"Tell me about a time when you solved a complex technical problem through creative problem-solving.",Problem Solving,Medium,SpaceX Values
Costco,Mid Level,Member Value,Providing exceptional value to members,"Tell me about a time when you went above and beyond to provide exceptional value to customers or stakeholders.",Culture Fit,Medium,Costco Values
Costco,Senior,Employee Welfare,Taking care of employees and creating a positive work environment,"Describe how you've contributed to creating a positive work environment where people can thrive.",Leadership,High,Costco Values
Costco,Leadership,Ethical Business,Conducting business with integrity and ethical behavior,"Give me an example of when you maintained ethical business practices despite competitive or financial pressure.",Leadership,High,Costco Values
Costco,Entry Level,Quality,Maintaining high standards in products and service,"Tell me about a time when you maintained quality standards despite cost or time pressures.",Values,Low,Costco Values
Mondelez,Mid Level,Consumer First,Putting consumer needs and preferences at the center,"Tell me about a time when you advocated for consumer needs and preferences in product or service decisions.",Culture Fit,Medium,Mondelez Values
Mondelez,Senior,Growth Mindset,Embracing challenges and learning from setbacks,"Describe a setback you experienced and how you learned and grew from that experience.",Leadership,High,Mondelez Values
Mondelez,Leadership,Innovation,Creating breakthrough snacking solutions,"Give me an example of when you led an innovative project that created new value for consumers.",Leadership,High,Mondelez Values
Mondelez,Entry Level,Collaboration,Working together to achieve shared goals,"Tell me about a successful collaboration where different perspectives contributed to better outcomes.",Teamwork,Low,Mondelez Values
General Mills,Mid Level,Champion Inclusion,Creating an environment where everyone can contribute their best,"Tell me about a time when you actively promoted inclusion and helped someone feel valued and heard.",Values,Medium,General Mills Values
General Mills,Senior,Act with Integrity,Doing what's right even when it's difficult,"Describe a situation where you chose to do the right thing despite potential negative consequences.",Values,High,General Mills Values
General Mills,Leadership,Build Great Brands,Creating brands that consumers love and trust,"Give me an example of when you built or strengthened something that created lasting value for customers.",Leadership,High,General Mills Values
General Mills,Entry Level,Serve with Heart,Showing care and compassion in all interactions,"Tell me about a time when your caring approach made a positive difference for someone.",Culture Fit,Low,General Mills Values
Kellogg's,Mid Level,Integrity,Acting with honesty and ethical behavior,"Tell me about a time when your integrity was tested and how you maintained your ethical standards.",Values,Medium,Kellogg Company Values
Kellogg's,Senior,Passion,Showing enthusiasm and energy for the work and mission,"Describe a project or initiative you were passionate about and how that passion influenced the outcome.",Culture Fit,High,Kellogg Company Values
Kellogg's,Leadership,Innovation,Creating breakthrough food solutions,"Give me an example of when you led an innovative approach that created new value for consumers.",Leadership,High,Kellogg Company Values
Kellogg's,Entry Level,Simplicity,Finding straightforward solutions to complex challenges,"Tell me about a time when you simplified a complex process or problem to achieve better results.",Problem Solving,Low,Kellogg Company Values
Colgate-Palmolive,Mid Level,Caring,Showing genuine concern for people and communities,"Tell me about a time when you demonstrated genuine care that made a positive impact on someone's life.",Values,Medium,Colgate-Palmolive Values
Colgate-Palmolive,Senior,Global Teamwork,Collaborating effectively across cultures and regions,"Describe a successful global collaboration where cultural differences were leveraged as strengths.",Teamwork,High,Colgate-Palmolive Values
Colgate-Palmolive,Leadership,Continuous Improvement,Always finding ways to do things better,"Give me an example of when you led continuous improvement efforts that delivered significant results.",Leadership,High,Colgate-Palmolive Values
Colgate-Palmolive,Entry Level,Integrity,Maintaining honest and ethical behavior in all situations,"Tell me about a situation where your integrity was important to building trust and achieving success.",Values,Medium,Colgate-Palmolive Values
