Company,Role Level,Principle Name,Principle Description,Behavioral Question,Question Type,Difficulty,Authentic Quote,Source Attribution,Publication,Year
Danone,Mid Level,Dual Social and Economic Project,Balancing social impact with economic performance for decades,"Tell me about a time when you found a way to achieve both social good and business results in a project or initiative.",Problem Solving,Medium,"The dual social and economic project has been at the heart of the company's purpose for decades, balancing business performance with sustainability commitments.",Danone Group,Corporate Purpose,2024
Danone,Senior,Force for Good,Enabling every employee to be a force for good while fostering welcoming supportive workplace,"Tell me about a time when you empowered others to make a positive social or environmental impact through their work.",Teamwork,Hard,"Danone aims to enable every Danoner to be a force for good via their B Corp journey, fostering a welcoming and supportive workplace.",Danone Group,Social Impact,2024
Danone,Leadership,Food Revolution Leadership,Accelerating food revolution to create superior sustainable profitable value for all stakeholders,"Tell me about a time when you led transformational change that created value across multiple stakeholder groups.",Leadership,Hard,"To accelerate this food revolution and create superior, sustainable, profitable value for all its stakeholders, Danone has defined nine 2030 Goals.",Danone Group,Strategic Vision,2024
Reckitt,Mid Level,Ownership and Entrepreneurial Spirit,Demonstrating extraordinary ownership entrepreneurial spirit and drive for performance,"Tell me about a time when you took ownership of a challenging situation and approached it with an entrepreneurial mindset.",Leadership,Medium,"I have seen the extraordinary ownership, entrepreneurial spirit, and drive for performance that our people demonstrate every day.",Kris Licht,CEO Statement,2024
Reckitt,Senior,Power Brand Excellence,Focusing on market-leading power brands that enjoy very high levels of trust,"Tell me about a time when you focused resources on your strongest assets to maximize value creation.",Problem Solving,Hard,"I define power brands as when you have a very large brand that enjoys very high levels of trust. Being clear and being disciplined is really important, because that's how we maximize value creation.",Kris Licht,CEO Interview,2024
Reckitt,Leadership,Academy Company Aspiration,Building internal talent development capabilities to become more of an academy company,"Tell me about a time when you invested in developing others' capabilities as a deliberate long-term strategy.",Leadership,Hard,"I want Reckitt to become more of an academy company. We have been on a journey to build our internal talent development capabilities, and we should aspire to get to levels of excellence.",Kris Licht,CEO Statement,2024
BP,Mid Level,Safety Leadership Principles,Rigorously embedding lifesaving rules and safety leadership principles with safety always first,"Tell me about a time when you prioritized safety over speed or cost in a decision.",Values,Medium,"BP emphasizes rigorously embedding their Lifesaving Rules and having all people live and own their Safety Leadership Principles, with safety always coming first at BP.",BP PLC,Safety Principles,2024
BP,Senior,Discipline and Returns Focus,Operating safely efficiently executing with discipline and always focusing on returns,"Tell me about a time when you maintained discipline in resource allocation while pursuing multiple opportunities.",Problem Solving,Hard,"Now, more than ever, our focus must remain on delivery – operating safely and efficiently, executing with discipline, and always focusing on returns.",Murray Auchincloss,CEO Statement,2024
BP,Leadership,Integrated Energy Transition,Moving from international oil company to integrated energy company while building tomorrow's energy,"Tell me about a time when you led an organization through a major transformation while maintaining current performance.",Leadership,Hard,"BP's destination is unchanged - moving from an international oil company to an integrated energy company, supplying today's energy system while helping to build tomorrow's.",Murray Auchincloss,CEO Statement,2024
Bayer,Mid Level,Health for All Hunger for None,Redesigned around mission to serve global nutrition health and environmental protection,"Tell me about a time when you contributed to a solution that addressed multiple global challenges simultaneously.",Values,Medium,"Bayer has redesigned itself around the mission: Health for all, Hunger for none, delivering tremendous benefits for nutrition, health and environmental protection.",Bayer AG,Corporate Mission,2024
Bayer,Senior,Dynamic Shared Ownership,Shifting from hierarchical model to empowering innovators and creators at all levels,"Tell me about a time when you empowered others by removing hierarchical barriers and giving them more autonomy.",Leadership,Hard,"Bill Anderson is putting an end to the hierarchical model and putting more power in the hands of the innovators and creators at Bayer, calling it Dynamic Shared Ownership.",Bayer AG,Operating Model,2024
Bayer,Leadership,More Leadership Less Management,Helping people shift from limiting mindsets to enabling mindsets that pursue company mission,"Tell me about a time when you helped others overcome limiting beliefs or mindsets to achieve breakthrough results.",Leadership,Hard,"Bill Anderson calls for more leadership and less management, helping people become more aware of limiting mindsets and shifting them to more enabling mindsets.",Bill Anderson,CEO Philosophy,2024
Engie,Entry Level,Positive Energy Transition,Energy transition has to be positive and desirable for all stakeholders,"Tell me about a time when you helped make a necessary change more appealing and beneficial to those affected by it.",Culture Fit,Easy,"Catherine MacGregor has led the ENGIE Group with the conviction that the energy transition has to be positive and desirable for all.",Engie SA,CEO Vision,2024
Engie,Mid Level,Authentic Sustainability Alignment,Strong alignment between sustainable goals and value creation to avoid greenwashing,"Tell me about a time when you ensured that stated values were authentically reflected in actual business decisions.",Values,Medium,"The best way to hold business accountable is to verify that our sustainable goals are truly aligned with how we create value. If you want to avoid greenwashing, you need strong alignment.",Catherine MacGregor,CEO Statement,2024
Engie,Senior,Inclusive Responsible Growth,Transition represents new form of growth that is more inclusive shared and responsible,"Tell me about a time when you designed growth strategies that specifically included and benefited multiple stakeholder groups.",Problem Solving,Hard,"Transition is not degrowth. On the contrary, it represents a new form of growth - more inclusive, more shared, more responsible!",Catherine MacGregor,CEO Statement,2024
Engie,Leadership,Social and Societal Responsibilities,Considering social impact and responsibilities toward customers and communities,"Tell me about a time when you balanced commercial objectives with social and societal responsibilities.",Leadership,Hard,"The Group has social and societal responsibilities and must consider the impact of price rises on customers, while maintaining energy as a key sovereignty issue.",Catherine MacGregor,CEO Statement,2024
Hermes,Mid Level,Respecting Heritage While Embracing Change,Maintaining craftsmanship and history while changing what needs to be changed to remain relevant,"Tell me about a time when you preserved important traditions while adapting to new requirements or circumstances.",Culture Fit,Medium,"Respecting and maintaining your heritage means retaining strong craftsmanship and respecting our history, while not being afraid to change what needs to be changed to remain relevant in the contemporary world.",Axel Dumas,CEO Philosophy,2024
Hermes,Senior,Quality Over Quantity,Never compromising integrity of product for increased production when craftsmanship and authenticity are key,"Tell me about a time when you chose to maintain quality standards even when there was pressure to increase volume or speed.",Values,Hard,"We are not going to increase production by changing the integrity of the product. When buying a product prized for craftsmanship and authenticity, those qualities are more important than convenience.",Axel Dumas,CEO Statement,2024
Hermes,Leadership,Creative Freedom Over Marketing,Product development based solely on freedom of creativity rather than traditional marketing approaches,"Tell me about a time when you empowered creative freedom and intuition over conventional market-driven approaches.",Leadership,Hard,"Hermes does not have a marketing department, product development being solely based on the freedom of creativity, because we are craftsmen and not industry.",Hermes International,Business Philosophy,2024
Volkswagen,Entry Level,Diversity and Pride,Group Essential values including diversity pride and bravery in all decisions,"Tell me about a time when you embraced diversity in your team or celebrated an achievement that made you proud.",Culture Fit,Easy,"The Group's underlying values are defined by the seven Volkswagen Group Essentials: responsibility, honesty, bravery, diversity, pride, solidarity and reliability.",Volkswagen Group,Corporate Values,2024
BMW,Leadership,Confident Vision,Being confident about providing meaningful answers and staying strong today and tomorrow,"Tell me about a time when you maintained confidence and provided clear direction during uncertain times.",Leadership,Hard,"The BMW way is shaped by confidence – because we provide meaningful answers. Strong today – and strong tomorrow.",Oliver Zipse,CEO Statement,2024
Mercedes-Benz,Entry Level,Appreciative Culture,Working atmosphere of mutual appreciation with room for maneuver and personal responsibility,"Tell me about a time when you created or contributed to an appreciative work environment where people felt valued.",Teamwork,Easy,"At Continental, the working climate is characterized by mutual respect allowing a working atmosphere of mutual appreciation with room for maneuver and personal responsibility to flourish.",Mercedes-Benz Group,Corporate Culture,2024
Porsche,Entry Level,Family Spirit,Sense of family as one of four core cultural values alongside pioneering spirit and sportiness,"Tell me about a time when you helped create a sense of family or belonging within your work team.",Culture Fit,Easy,"Porsche's cultural mission statement is anchored in four key values: pioneering spirit, sportiness, a sense of family and Herzblut (passion).",Porsche AG,Corporate Mission,2024
Continental,Entry Level,Creative Freedom,Freedom as umbrella under which every action and new idea is cultivated and nurtured,"Tell me about a time when you used creative freedom to develop a new idea or approach to solving a problem.",Problem Solving,Easy,"Freedom is the umbrella under which every action and every new idea is cultivated. We blossom within our creative freedom and take our personal responsibility seriously.",Continental AG,Corporate Values,2024
LVMH,Mid Level,Decentralized Autonomy,Decentralized organization allowing brands to operate autonomously while promoting innovation and customer understanding,"Tell me about a time when you operated with autonomy while still contributing to broader organizational objectives.",Leadership,Medium,"LVMH's decentralized management allows its brands to operate autonomously, promoting quick customer understanding and innovation.",LVMH Group,Management Philosophy,2024
L'Oreal,Mid Level,Essential Beauty,Beauty as human need providing dopamine effect and happiness even in tough times,"Tell me about a time when you provided something that brought joy or positivity to others during difficult circumstances.",Values,Medium,"We are there to create what I call the 'dopamine effect of beauty.' Beauty is an incredible category. It makes people happy even when times are tough.",Nicolas Hieronimus,CEO Statement,2024
Shell,Mid Level,Balanced Approach,Not being oil-and-gas-only or renewables-only but maintaining balanced disciplined approach,"Tell me about a time when you found success by avoiding extremes and taking a balanced approach to competing alternatives.",Problem Solving,Medium,"We're not an oil-and-gas-only investment case, and we're not a renewables-only investment case. We remain balanced and disciplined while delivering compelling shareholder returns.",Wael Sawan,CEO Statement,2024
BASF,Entry Level,Creative and Open,CORE values emphasizing creativity and openness to new ideas and approaches,"Tell me about a time when you demonstrated creativity and openness to find a solution to a challenge.",Culture Fit,Easy,"BASF operates under their CORE values framework where C represents Creative and O represents Open to new ideas and approaches.",BASF SE,CORE Values,2024
Allianz,Entry Level,Net Zero Leadership,Founding member of Net-Zero Asset Owner Alliance committed to net zero by 2050,"Tell me about a time when you took leadership on an important cause or initiative that required long-term commitment.",Values,Easy,"In 2019, Allianz became the founding member of the Net-Zero Asset Owner Alliance, committed to moving investment portfolios to net zero by 2050.",Allianz SE,Environmental Leadership,2024
Airbus,Entry Level,Safety Quality Integrity,Built on strong foundations of safety quality integrity compliance and security,"Tell me about a time when you demonstrated integrity or prioritized safety and quality in your work.",Values,Easy,"Airbus is built on strong foundations of safety, quality, integrity, compliance and security as core principles.",Airbus SE,Corporate Foundation,2024
HSBC,Entry Level,Diverse Perspectives,Valuing diverse workforce as special resource for devising innovative solutions,"Tell me about a time when diverse perspectives in your team led to a better solution or outcome.",Teamwork,Easy,"They value their diverse workforce as a special resource, wanting to make use of that potential because innovative solutions can only be devised by taking various perspectives into account.",HSBC Holdings,Diversity Philosophy,2024
Unilever,Entry Level,People Responsibility,Remaining fully committed to respecting human rights advancing equity diversity and inclusion,"Tell me about a time when you advocated for or supported equity, diversity, or inclusion in your workplace.",Values,Easy,"Unilever remains fully committed to the fundamental tenets of operating as a responsible business: respecting human rights, advancing equity, diversity and inclusion.",Unilever PLC,Corporate Responsibility,2024
Vodafone,Entry Level,Innovation Investment,Investing heavily in research and development for emerging technologies like 5G IoT and AI,"Tell me about a time when you invested time or resources in learning about emerging technologies or trends.",Culture Fit,Easy,"Innovation is crucial for Vodafone to stay competitive, investing heavily in research and development to explore emerging technologies such as 5G, IoT, and artificial intelligence.",Vodafone Group,Innovation Focus,2024
GSK,Entry Level,Responsible Pricing Behavior,Continuing good work in responsible behavior around pricing and commitment to access and global health,"Tell me about a time when you made a decision that prioritized accessibility or fairness over maximum profit.",Values,Easy,"As CEO, I want to continue the good work we have already been doing in responsible behaviour around pricing and commitment to access and global health.",Emma Walmsley,CEO Statement,2024
TotalEnergies,Entry Level,Collective Intelligence,Emphasizing importance of collective intelligence courage and aligning corporate values with societal expectations,"Tell me about a time when you brought together different viewpoints to make a better decision.",Teamwork,Easy,"He emphasized the importance of collective intelligence, courage, and aligning corporate values with societal expectations in approaching global energy challenges responsibly.",Patrick Pouyanné,Leadership Philosophy,2024
Deutsche Telekom,Entry Level,Forever Making Life Easier,Mission to forever make life easier for people and enrich their lives,"Tell me about a time when you helped make someone's life easier or better through your work or actions.",Values,Easy,"Forever making life easier for people and enriching it is our mission, taking responsibility to society and environment very seriously.",Deutsche Telekom AG,Corporate Mission,2024
Deutsche Bank,Entry Level,European Champion,Wanting to be European champion and first choice for clients while maintaining global focus,"Tell me about a time when you represented your team or organization with pride while working with international partners.",Culture Fit,Easy,"As the Global Hausbank, Deutsche Bank wants to be the European champion and first choice for clients, with Europe urgently needing a strong domestic bank with global focus.",Christian Sewing,CEO Statement,2024
AstraZeneca,Entry Level,Values-Based Culture,Values-based culture grounded in ethics and integrity with clear expectations and independent oversight,"Tell me about a time when you made a decision based on your values even when it wasn't the easiest choice.",Values,Easy,"They ensure robust governance through their Values-based culture grounded in ethics and integrity and supported by clear expectations outlined in policies and standards.",AstraZeneca PLC,Governance Culture,2024
Sanofi,Entry Level,Global Healthcare Access,Trying to get medicines to everybody who needs them across all countries,"Tell me about a time when you worked to make something important more accessible to others.",Values,Easy,"We try and get medicines to everybody who needs them. We ship medicines to all countries; we try and do our best to make sure every patient gets what they need.",Paul Hudson,CEO Statement,2024
BNP Paribas,Entry Level,Stimulating Workplace,Fostering stimulating workplace where people are treated fairly and with respect,"Tell me about a time when you helped create a more respectful and fair environment for others.",Culture Fit,Easy,"BNP Paribas fosters a stimulating workplace where people are treated fairly and with respect, aiming to offer colleagues an inspiring and stimulating place to work.",BNP Paribas Group,Workplace Culture,2024
Tesco,Entry Level,Community Hubs,Stores acting as community hubs with responsibility that comes from company size,"Tell me about a time when you took on responsibility to serve your local community beyond your basic job requirements.",Values,Easy,"Murphy said that the stores now acted as community hubs, a responsibility that he said comes from the company's size, demonstrating Tesco's commitment to local communities.",Ken Murphy,CEO Statement,2024
Rolls-Royce,Entry Level,High-Performance Culture,Driving high-performance culture while delivering results for all stakeholders,"Tell me about a time when you contributed to a high-performance environment while ensuring everyone benefited.",Culture Fit,Easy,"Rolls-Royce chair described Tufan as having the ability to drive a high-performance culture and deliver results for investors while maintaining stakeholder focus.",Tufan Erginbilgic,Leadership Recognition,2024
Orange,Entry Level,Digital Inclusion,Supporting children in informed use of digital technology and protecting from digital threats,"Tell me about a time when you helped someone learn to use technology safely and effectively.",Values,Easy,"The For Good Connections initiative supports children in the informed use of digital technology and helps protect them from digital threats, reaffirming Orange's commitment to responsible digital use.",Orange SA,Digital Responsibility,2024
Schneider Electric,Entry Level,Diversity Wellbeing Inclusion,Embracing diversity and inclusion with wellbeing respect and inclusion embedded in business,"Tell me about a time when you made sure everyone felt included and respected in a group or team setting.",Culture Fit,Easy,"We embrace diversity and inclusion in everything we do. Diversity, well-being, respect, and inclusion are embedded in our business.",Schneider Electric,Corporate Values,2024
Nestle,Entry Level,Preserving Planet,Preserving the planet for future generations as core business principle,"Tell me about a time when you made a decision with future generations or environmental impact in mind.",Values,Easy,"Key principles include preserving the planet for future generations and demonstrating honesty, integrity and fairness to customers.",Nestlé SA,Business Principles,2024
British American Tobacco,Entry Level,Diversity Appreciation,Valuing diversity of business cultures and range of markets with different challenges and opportunities,"Tell me about a time when you appreciated or learned from cultural differences in a work setting.",Culture Fit,Easy,"Marroco values the diversity of the business – the many different cultures you experience as well as the range of markets, each of which has its own challenges and opportunities.",Tadeu Marroco,CEO Statement,2024
Danone,Entry Level,Respect for Diversity,Strong culture respecting both diversity and inclusivity as fundamental to company purpose,"Tell me about a time when you showed respect for someone with a different background or perspective than your own.",Culture Fit,Easy,"I have tremendous admiration for Danone's strong and unique people culture which respects both diversity and inclusivity as fundamental to company purpose.",Antoine de Saint-Affrique,CEO Statement,2024
Reckitt,Entry Level,Responsible Stewardship,Every leadership team member committed to responsible stewardship of the company,"Tell me about a time when you took care of something important that was entrusted to you.",Values,Easy,"Every member of their leadership team is committed to the responsible stewardship of the company with focus on sustainable operations.",Reckitt Benckiser,Leadership Commitment,2024
BP,Entry Level,Global Diversification,Globally diversified with integrated model built for resilience and deep experience navigating uncertainty,"Tell me about a time when your diverse experience or background helped you navigate a challenging situation.",Culture Fit,Easy,"BP describes itself as globally diversified with an integrated model built for resilience and deep experience navigating economic uncertainty.",BP PLC,Strategic Position,2024
Bayer,Entry Level,World Benefits,Delivering tremendous benefits for nutrition health and environmental protection of the world,"Tell me about a time when your work contributed to helping people's health, nutrition, or environmental wellbeing.",Values,Easy,"Bayer is an innovative company that is already delivering tremendous benefits for the nutrition, health and environmental protection of the world.",Bill Anderson,CEO Statement,2024
Engie,Entry Level,European Energy Policy,Calling for Europe-wide energy policy recognizing importance of gas in energy mix,"Tell me about a time when you advocated for a balanced approach to solve a complex problem.",Problem Solving,Easy,"Catherine MacGregor called for a Europe-wide energy policy, pointing out the importance of gas in the European energy mix for a balanced approach.",Catherine MacGregor,CEO Statement,2024
Hermes,Entry Level,Resilient Progress,Making progress when possible and sitting tight when things are difficult in unstable world,"Tell me about a time when you showed resilience and adapted your approach based on changing circumstances.",Values,Easy,"We live in an unstable world, and therefore it is important to be a resilient company that makes progress when it is possible, and sits tight when things are difficult.",Axel Dumas,CEO Statement,2024
Volkswagen,Mid Level,Future-Fit Strategy,Positioning company setup for the future while addressing operational challenges of today,"Tell me about a time when you balanced immediate needs with long-term strategic planning.",Problem Solving,Medium,"Looking at our key priorities, we want to put the Company in the right configuration for the future while addressing operational challenges of today.",Oliver Blume,CEO Statement,2024
BMW,Mid Level,Trust Building,Building trust with communities through frank open discussion in early stages of projects,"Tell me about a time when you built trust with stakeholders through transparent communication.",Teamwork,Medium,"BMW seeks frank and open discussion with residents in the early stages of projects, explaining sustainable designs and advantages to communities. This is how we build trust.",BMW Group,Community Engagement,2024
Mercedes-Benz,Mid Level,Pioneering Spirit,Having pioneering spirit as part of appreciative culture with lifelong learning focus,"Tell me about a time when you pioneered something new or took initiative to learn and grow.",Leadership,Medium,"With a view to the future of mobility, they need an appreciative culture in which a pioneering spirit and lifelong learning can grow and thrive.",Mercedes-Benz Group,Corporate Culture,2024
Porsche,Mid Level,Personal Responsibility,Taking personal responsibility seriously while blossoming within creative freedom,"Tell me about a time when you took personal responsibility for a result while having creative freedom to achieve it.",Values,Medium,"We blossom within our creative freedom, take our personal responsibility seriously, and thus benefit together from our organizational independence.",Porsche AG,Corporate Philosophy,2024
Continental,Mid Level,Winning Mindset Passion,Winning mindset as fuel that drives to peak performance with passion for being the best,"Tell me about a time when your passion and determination to be the best drove you to achieve excellent results.",Values,Medium,"A winning mindset is the fuel that drives us to peak performance. We want to be the best at what we do with passion for excellence.",Continental AG,Corporate Values,2024
LVMH,Senior,Agility and Responsiveness,Agile decentralized organization that encourages efficiency responsiveness and individual initiative,"Tell me about a time when you demonstrated agility and responsiveness to quickly address a changing situation.",Leadership,Hard,"LVMH has an agile and decentralized organization that encourages efficiency and responsiveness while stimulating individual initiative.",LVMH Group,Organizational Design,2024
L'Oreal,Senior,Research and Innovation Investment,Investing more than €1.3 billion per year in R&I more than top three competitors combined,"Tell me about a time when you made a significant investment in innovation or research that others might have questioned.",Leadership,Hard,"We're investing more than €1.3 billion per year in R&I, more than our top three competitors combined, because no one spends on innovation like we do.",Nicolas Hieronimus,CEO Statement,2024
Shell,Senior,Diversity History First,For the first time in Shell's history having more women than men on Executive Committee,"Tell me about a time when you achieved a significant milestone in diversity or representation that had never been reached before.",Leadership,Hard,"As of January 1, 2024, for the first time in Shell's history, they have more women than men on their Executive Committee.",Shell Global,Diversity Milestone,2024
BASF,Senior,Leading by Example,Leaders playing key role in compliance culture by embodying and communicating values internally and externally,"Tell me about a time when you led by example to establish or reinforce important values in your organization.",Leadership,Hard,"Leaders play a key role in our compliance culture by embodying and communicating our values both internally and externally, with special workshops for senior executives.",BASF SE,Compliance Culture,2024
Allianz,Senior,Pragmatic Market Solutions,Needing pragmatic market-based solutions that reflect scientific and economic realities rather than rigid policies,"Tell me about a time when you found practical solutions that balanced multiple complex requirements and realities.",Problem Solving,Hard,"We need to focus on pragmatic, market-based solutions that reflect scientific and economic realities, rather than imposing dogmatic and rigid policies.",Oliver Bäte,CEO Statement,2024
Airbus,Senior,Collaboration or Death,Either working together or facing failure with no middle ground in many areas,"Tell me about a time when collaboration was absolutely essential for success and failure wasn't an option.",Teamwork,Hard,"In many areas, the choice is clear: either we work together, or we die — in any case, we risk sidelining ourselves.",Guillaume Faury,CEO Statement,2024
HSBC,Senior,Long-term Stakeholder Focus,Building for tomorrow by taking long view and focusing on sustainable interests of all stakeholders,"Tell me about a time when you made decisions that prioritized long-term sustainability over immediate pressures.",Leadership,Hard,"The bank builds for tomorrow today, succeeding by taking the long view and focusing on the sustainable interests of customers, investors, and communities served.",HSBC Holdings,Corporate Values,2024
Unilever,Senior,Science-Based Long-term Commitments,Maintaining rigorous science-based long-term commitments while ensuring immediate measurable impact,"Tell me about a time when you maintained long-term commitments while delivering short-term results under pressure.",Leadership,Hard,"We are maintaining rigorous and science-based long-term commitments while ensuring we are clear about the immediate steps we have to take.",Hein Schumacher,CEO Statement,2024
Vodafone,Senior,Decision-Making Speed and Accountability,Reducing duplication and increasing proximity to drive decision-making speed and accountability,"Tell me about a time when you streamlined processes to enable faster and more accountable decision-making.",Leadership,Hard,"The new structure will reduce duplication and increase proximity, in turn driving decision-making speed and accountability.",Margherita Della Valle,CEO Statement,2024
GSK,Senior,Creativity and Accountability Balance,Fostering culture of creativity and transformative innovation while getting balance right between freedom and accountability,"Tell me about a time when you balanced creative freedom with clear accountability to drive innovation.",Leadership,Hard,"It's important to foster a culture of creativity and transformative innovation, and to get the balance right between freedom and accountability.",GSK PLC,Innovation Culture,2024
TotalEnergies,Senior,Energy Price Impact,Recognizing influence of energy prices on global policy while balancing economic development with environmental conservation,"Tell me about a time when you balanced economic needs with environmental responsibilities in a strategic decision.",Leadership,Hard,"Pouyanné highlighted the influence of energy prices on global policy, stressing these characteristics as crucial in balancing economic development with environmental conservation.",Patrick Pouyanné,Strategic Vision,2024
Deutsche Telekom,Senior,Climate Neutrality by 2040,Aiming for climate neutrality with net-zero emissions across entire value chain by 2040,"Tell me about a time when you set and worked toward an ambitious long-term environmental goal.",Leadership,Hard,"By 2040, Telekom aims to achieve climate neutrality with net-zero emissions across the entire value chain with interim goal to cut emissions by 55% by 2030.",Deutsche Telekom AG,Sustainability Goals,2024
Deutsche Bank,Senior,Transformation and Growth,Measuring success by whether transformation and growth strategy achieved with over 10% post-tax return target,"Tell me about a time when you measured success through comprehensive transformation metrics rather than just financial results.",Leadership,Hard,"2025 will be decisive for the bank, with success measured by whether they've achieved their transformation and growth strategy, targeting post-tax return on tangible equity of over 10 percent.",Christian Sewing,CEO Statement,2024
AstraZeneca,Senior,Health Systems Transformation,Chairing task force for accelerating transition to net zero health systems globally,"Tell me about a time when you led an industry-wide initiative to address a systemic challenge.",Leadership,Hard,"Pascal Soriot chairs the SMI Health Systems Task Force, a collaboration of global CEOs committed to accelerating the transition to net zero health systems.",AstraZeneca PLC,Industry Leadership,2024
Sanofi,Senior,First-in-Class Best-in-Class,Moving toward more worthy direction going after first-in-class best-in-class medicines,"Tell me about a time when you raised standards to focus only on the highest quality or most innovative solutions.",Problem Solving,Hard,"We declared a strategy through 2025 and are moving in a slightly different direction, which is to go after first-in-class, best-in-class medicines.",Paul Hudson,CEO Statement,2024
BNP Paribas,Senior,Trusted Industry Player,Aiming to be among most trustworthy players in industry through culture of responsibility and integrity,"Tell me about a time when you worked to rebuild or strengthen trust through consistent ethical behavior.",Values,Hard,"The bank counts on its culture of responsibility and integrity to serve client interests and aims to be among the most trustworthy players in the industry.",BNP Paribas Group,Trust Building,2024
Tesco,Senior,Innovation and Leadership,Undergoing strategic reset not from panic but proactive push to stay agile essential and ahead of curve,"Tell me about a time when you proactively initiated changes to stay ahead of emerging challenges or opportunities.",Leadership,Hard,"Tesco is undergoing a strategic reset — not in response to panic, but as a proactive push to keep the retailer agile, essential, and ahead of the curve.",Ken Murphy,Strategic Leadership,2024
Rolls-Royce,Senior,Revealing Truth to Mobilize,Telling people dire state honestly to mobilize them while showing vision for making company great,"Tell me about a time when you had to deliver difficult news while maintaining hope and motivation for the future.",Leadership,Hard,"Underperforming companies stop talking about performing. You need to tell them what your vision is to make this a great company while revealing the company's dire state to mobilize employees.",Tufan Erginbilgic,CEO Statement,2024
Orange,Senior,Policy Environment Integration,Recognizing increasing impact of external policy environment on commercial and sustainability ambitions,"Tell me about a time when you successfully integrated external regulatory or policy requirements into business strategy.",Leadership,Hard,"Recent reorganization reflects the increasing extent to which the external policy environment impacts our commercial and sustainability ambitions, suggesting a more integrated approach.",Orange SA,Strategic Integration,2024
Schneider Electric,Senior,Net Zero by 2040,Focused on achieving net-zero emissions across operations and value chain by 2040,"Tell me about a time when you set and worked toward ambitious environmental targets that required systemic changes.",Leadership,Hard,"As of 2024, Schneider Electric is focused on achieving net-zero emissions across its operations and value chain by 2040 with interim targets to reduce emissions by 50% by 2030.",Schneider Electric,Environmental Leadership,2024
Nestle,Senior,Creating Shared Value,Corporate Business Principles forming basis of Creating Shared Value strategy and company culture,"Tell me about a time when you created value that benefited multiple stakeholders simultaneously.",Leadership,Hard,"Nestlé's Corporate Business Principles guide behavior and ensure they act with integrity while forming the basis of their Creating Shared Value strategy.",Nestlé SA,Strategic Framework,2024
British American Tobacco,Senior,Sustainable Future Delivery,Key pillar of refined strategy focusing on delivery of Sustainable Future alongside Quality Growth,"Tell me about a time when you integrated sustainability as a core pillar of business strategy rather than an add-on.",Leadership,Hard,"A key pillar of the refined BAT strategy is the delivery of a Sustainable Future, together with Quality Growth and Dynamic Business, underpinning Building of a Smokeless World.",British American Tobacco,Strategic Pillars,2024
Danone,Senior,B Corp Leadership,First listed company to adopt Entreprise à Mission status in France while pursuing B Corp certification,"Tell me about a time when you led your organization to achieve a pioneering certification or recognition.",Leadership,Hard,"Danone paved the way as the first listed company to adopt the 'Entreprise à Mission' status in France while pursuing B Corp certification journey.",Danone Group,Mission Leadership,2024
Reckitt,Senior,Decision-Making Speed,Reducing duplication and increasing proximity to drive decision-making speed and accountability through teamwork,"Tell me about a time when you restructured processes to enable faster decisions while maintaining quality and accountability.",Leadership,Hard,"CEO Kris Licht stressed the new structure will reduce duplication and increase proximity, driving decision-making speed and accountability through required teamwork.",Kris Licht,Organizational Design,2024
BP,Senior,Comparable Returns Promise,Expecting comparable returns from transition growth engines as from oil and gas with over 15% returns target,"Tell me about a time when you set equally ambitious performance standards across different business areas or initiatives.",Leadership,Hard,"BP expects to achieve comparable returns from its transition growth engines as from oil and gas, with expectations of more than 15% returns in bioenergy, EV charging and convenience.",Murray Auchincloss,Performance Standards,2024
Bayer,Senior,Customer-Centered Focus,Fully centered on customers and products with each business leaner and more effective than competitors by 2026,"Tell me about a time when you transformed an organization to be more customer-focused and competitive.",Leadership,Hard,"By the end of 2026, Anderson envisions a Bayer that has tackled the bureaucracy, fully centered on customers and products, with each business leaner and more effective than competitors.",Bill Anderson,Transformation Vision,2024
Engie,Senior,Energy Sovereignty Focus,Focusing on energy supply as key sovereignty issue while considering social impact on customers,"Tell me about a time when you balanced strategic national or regional interests with social responsibility.",Leadership,Hard,"According to Catherine MacGregor, energy is strategic and the focus must be on energy supply as a key sovereignty issue while having social and societal responsibilities toward customers.",Catherine MacGregor,Strategic Balance,2024
Hermes,Senior,Democratic Monarchy Principle,Operating under principle of democratic monarchy with 75% majority required for major changes,"Tell me about a time when you balanced family or stakeholder input with decisive leadership in important decisions.",Leadership,Hard,"The company operates under the principle of a democratic monarchy with leadership closely tied to family body and requiring 75% majority to change company statutes or CEO.",Hermes International,Governance Structure,2024
Volkswagen,Senior,Leading Technology Driver,Aiming to be the Global Automotive Tech Driver as the technology leader for automotive industry by 2035,"Tell me about a time when you positioned your organization as the technology leader in your industry.",Leadership,Hard,"By 2035, we aim to be 'The Global Automotive Tech Driver' as the Volkswagen Group — the global technology driver for the automotive industry.",Volkswagen Group,Strategic Vision,2024
BMW,Senior,Meaningful Answers Provider,BMW way shaped by confidence in providing meaningful answers and staying strong today and tomorrow,"Tell me about a time when you provided clear direction and meaningful solutions during complex challenges.",Leadership,Hard,"The BMW way is shaped by confidence – because we provide meaningful answers. Strong today – and strong tomorrow.",Oliver Zipse,CEO Statement,2024
Mercedes-Benz,Senior,Human Rights Implementation,Considering respect for human rights fundamental component of responsible corporate governance,"Tell me about a time when you championed human rights or ethical standards in business operations.",Values,Hard,"They consider respect for human rights a fundamental component of responsible corporate governance, committed to international standards and their own guidelines.",Mercedes-Benz Group,Human Rights Policy,2024
