Company,Role Level,Principle Name,Principle Description,Behavioral Question,Question Type,Difficulty,Authentic Quote,Source Attribution,Source Publication,Source Year
Bajaj Group,Leadership,Value Creation Through Innovation,"Bajaj's philosophy of creating value for customers through continuous innovation and quality improvement","Tell me about a time when you created significant value for customers by innovating beyond their stated requirements or expectations.","Leadership","Hard","Our success comes from creating value for customers through relentless innovation and uncompromising quality.","Rajiv Bajaj","Bajaj Management Philosophy","2019"
Bajaj Group,Mid Level,Frugal Innovation,"Bajaj's approach of creating high-quality, affordable solutions that serve diverse economic segments","Tell me about a time when you developed a cost-effective solution that maintained quality while making something accessible to price-sensitive customers.","Problem Solving","Medium","Frugal innovation means creating high-quality solutions that are accessible and affordable for diverse economic segments.","Bajaj Group","Innovation Strategy","2021"
Bajaj Group,Entry Level,Brand Trust Building,"Bajaj's focus on building long-term brand trust through consistent quality and customer service","Tell me about a time when you had to rebuild trust after a service failure or mistake. What steps did you take to restore confidence?","Culture Fit","Easy","Brand trust is built over decades through consistent quality and service. Every customer interaction either builds or erodes this trust.","Bajaj Group","Brand Philosophy","2022"
Maruti Suzuki,Leadership,Customer-First Manufacturing,"Maruti Suzuki's approach of designing and manufacturing vehicles with Indian customer needs as the primary focus","Tell me about a time when you redesigned a product or service specifically based on deep customer insights rather than technical specifications.","Culture Fit","Hard","We design and manufacture vehicles with Indian customers' needs, preferences, and road conditions as our primary consideration.","Maruti Suzuki","Customer Focus Strategy","2020"
Maruti Suzuki,Mid Level,Continuous Improvement Culture,"Maruti's implementation of Japanese manufacturing principles with continuous improvement (Kaizen) at the core","Tell me about a time when you implemented small, continuous improvements that led to significant overall enhancement in quality or efficiency.","Problem Solving","Medium","We embrace continuous improvement culture where every employee contributes ideas to enhance quality, efficiency, and customer satisfaction.","Maruti Suzuki","Manufacturing Excellence","2022"
Maruti Suzuki,Entry Level,Safety and Quality Focus,"Maruti Suzuki's commitment to manufacturing safe, reliable vehicles through rigorous quality processes","Tell me about a time when you chose quality or safety over speed or cost savings. How did you justify this decision?","Values","Easy","Safety and quality are non-negotiable. We never compromise on these fundamentals, regardless of cost or time pressures.","Maruti Suzuki","Quality Assurance Policy","2023"
Sun Pharma,Leadership,Affordable Healthcare Access,"Sun Pharma's mission of making quality healthcare accessible and affordable globally","Tell me about a time when you worked on making a high-quality product or service more affordable and accessible without compromising its effectiveness.","Values","Hard","Our mission is to make quality healthcare accessible and affordable for patients around the world.","Dilip Shanghvi","Sun Pharma Vision","2019"
Sun Pharma,Mid Level,Research and Development Excellence,"Sun Pharma's commitment to R&D innovation for developing effective pharmaceutical solutions","Tell me about a time when you invested significant time and resources in research or development that didn't have immediate returns but was important for long-term success.","Problem Solving","Medium","We invest in R&D excellence to develop innovative pharmaceutical solutions that address unmet medical needs.","Sun Pharma","R&D Strategy","2022"
Sun Pharma,Entry Level,Quality and Compliance Standards,"Sun Pharma's unwavering commitment to maintaining highest quality and regulatory compliance standards","Tell me about a time when you maintained high standards or compliance requirements even when it created additional work or challenges.","Values","Easy","We maintain the highest quality and compliance standards because patients' health and safety depend on our medicines.","Sun Pharma","Quality Assurance","2023"
Lenovo,Leadership,For Those Who Do,"Lenovo's brand philosophy celebrating people who take action and get things done through technology","Tell me about a time when you empowered someone to achieve their goals by providing them with the right tools or technology. What impact did it have?","Leadership","Hard","We serve 'For Those Who Do' - people who use technology to get things done, create, and make a difference in the world.","Yang Yuanqing","Lenovo Brand Philosophy","2020"
Lenovo,Mid Level,Innovation for Everyone,"Lenovo's commitment to making innovative technology accessible to people of all backgrounds and economic levels","Tell me about a time when you made an innovative solution more accessible or affordable for a broader audience without sacrificing quality.","Problem Solving","Medium","Innovation should be accessible to everyone, not just a privileged few. We democratize technology to empower all users.","Lenovo","Innovation Strategy","2021"
Lenovo,Entry Level,Smarter Technology for All,"Lenovo's vision of creating smarter technology that enhances human potential and productivity","Tell me about a time when you used technology to help someone become more productive or achieve something they couldn't do before.","Culture Fit","Easy","Our vision is creating smarter technology that enhances human potential and helps people achieve more in their personal and professional lives.","Lenovo","Corporate Vision","2022"
Huawei,Leadership,Customer-Centric Innovation,"Huawei's philosophy of innovating based on deep understanding of customer needs rather than technology capabilities alone","Tell me about a time when you prioritized customer needs over technical elegance or internal preferences when developing a solution.","Culture Fit","Hard","We innovate based on deep understanding of customer needs, not just because technology is possible.","Ren Zhengfei","Huawei Management Philosophy","2018"
Huawei,Mid Level,Open Collaboration Ecosystem,"Huawei's approach of building technology ecosystems through open collaboration with partners worldwide","Tell me about a time when you achieved better results through open collaboration rather than trying to control everything internally.","Leadership","Medium","We build technology ecosystems through open collaboration, sharing knowledge and capabilities with partners worldwide.","Huawei","Partnership Strategy","2021"
Huawei,Entry Level,Connecting the Unconnected,"Huawei's mission to use ICT technology to bridge digital divides and connect underserved populations","Tell me about a time when you worked on a project specifically designed to help underserved or remote communities access services or opportunities.","Values","Easy","Our mission is connecting the unconnected, using ICT technology to bridge digital divides and create opportunities for all.","Huawei","Social Responsibility Report","2022"
TCL,Leadership,Creative Technology Innovation,"TCL's philosophy of combining creativity with technology to create products that enhance human experiences","Tell me about a time when you combined creative thinking with technical capabilities to develop a solution that was both functional and inspiring.","Leadership","Hard","We combine creativity with technology to create products that don't just work well, but enhance and inspire human experiences.","Li Dongsheng","TCL Innovation Philosophy","2020"
TCL,Mid Level,Global Brand Building,"TCL's strategy of building a global brand while maintaining sensitivity to local market preferences","Tell me about a time when you successfully adapted a global standard or approach to meet specific local market needs and preferences.","Problem Solving","Medium","Building a global brand requires maintaining consistent quality while adapting to local market preferences and cultural nuances.","TCL","Global Strategy","2022"
TCL,Entry Level,User Experience Focus,"TCL's commitment to designing products with intuitive user experiences that make technology accessible to everyone","Tell me about a time when you simplified a complex interface or process to make it more intuitive for end users.","Problem Solving","Easy","We design products with intuitive user experiences that make advanced technology accessible and enjoyable for everyone.","TCL","Design Philosophy","2023"
Haier,Leadership,Inverted Triangle Management,"Haier's innovative management model that inverts traditional hierarchy to empower front-line employees","Tell me about a time when you empowered front-line team members to make important decisions rather than requiring approval from multiple management levels.","Leadership","Hard","We practice inverted triangle management, empowering front-line employees who are closest to customers to make key decisions.","Zhang Ruimin","Haier Management Innovation","2015"
Haier,Mid Level,Entrepreneurial Spirit Culture,"Haier's culture of treating every employee as an entrepreneur responsible for creating value","Tell me about a time when you took entrepreneurial ownership of a project, treating it like your own business rather than just completing assigned tasks.","Culture Fit","Medium","Every employee should think and act like an entrepreneur, taking ownership of creating value for customers and the company.","Haier Group","Cultural Transformation","2019"
Haier,Entry Level,Customer Value Creation,"Haier's focus on creating genuine value for customers rather than just selling products","Tell me about a time when you went beyond delivering a product or service to create additional value that truly helped a customer solve their problem.","Culture Fit","Easy","Our success is measured not by what we sell, but by the genuine value we create for customers in solving their real problems.","Haier Group","Customer Value Strategy","2021"
Midea,Leadership,Innovation for Better Living,"Midea's mission of using innovative home appliances to improve quality of life for families worldwide","Tell me about a time when you developed or improved a solution specifically to make daily life easier or better for users.","Leadership","Hard","Our mission is using innovative home appliances and smart technologies to improve quality of life for families worldwide.","He Xiangjian","Midea Vision Statement","2020"
Midea,Mid Level,Smart Manufacturing Excellence,"Midea's transformation into a leader in smart manufacturing and Industry 4.0 technologies","Tell me about a time when you implemented smart technology or automation to improve manufacturing or operational efficiency while maintaining quality.","Problem Solving","Medium","We lead in smart manufacturing, using Industry 4.0 technologies to improve efficiency while maintaining the highest quality standards.","Midea Group","Smart Manufacturing","2022"
Midea,Entry Level,Sustainable Development Focus,"Midea's commitment to sustainable development through energy-efficient products and green manufacturing","Tell me about a time when you integrated sustainability considerations into a product development or operational improvement project.","Values","Easy","Sustainable development guides our innovation, creating energy-efficient products through green manufacturing processes.","Midea Group","Sustainability Report","2023"
Rakuten,Leadership,Empowerment and Innovation,"Hiroshi Mikitani's philosophy of empowering employees to think globally and act innovatively to disrupt traditional industries","Tell me about a time when you empowered your team to challenge traditional industry practices and develop innovative solutions. What was the outcome?","Leadership","Hard","Empowerment and innovation are the keys to disrupting traditional industries and creating value for customers.","Hiroshi Mikitani","Rakuten Innovation Philosophy","2018"
Rakuten,Mid Level,Global Optimization Strategy,"Rakuten's approach of optimizing globally while maintaining local market sensitivity","Tell me about a time when you balanced global efficiency with local market needs. How did you ensure both objectives were met?","Leadership","Medium","We optimize globally while remaining sensitive to local market conditions and customer preferences.","Rakuten","Global Strategy Report","2021"
Rakuten,Entry Level,Customer Satisfaction Focus,"Rakuten's commitment to exceeding customer expectations through superior service and value","Tell me about a time when you went above and beyond to exceed customer expectations when they had a problem or special request.","Culture Fit","Easy","Customer satisfaction is our top priority. We continuously strive to exceed expectations through superior service and value.","Rakuten","Customer Service Philosophy","2022"
Mitsubishi,Leadership,Three Diamonds Philosophy,"Mitsubishi's corporate responsibility principles based on integrity, fairness, and international understanding","Tell me about a time when you had to balance competing stakeholder interests while maintaining integrity and fairness in your decision-making process.","Values","Hard","Our Three Diamonds represent corporate responsibility, integrity, and fairness in all our business dealings.","Mitsubishi Group","Corporate Philosophy","2019"
Mitsubishi,Senior,Sustainable Growth Focus,"Mitsubishi's commitment to sustainable growth that balances economic success with environmental and social responsibility","Tell me about a time when you made a business decision that prioritized long-term sustainability over short-term profits. What was your reasoning?","Values","Hard","Sustainable growth means balancing economic success with environmental stewardship and social responsibility.","Mitsubishi Corporation","Sustainability Strategy","2022"
Mitsubishi,Mid Level,Technology Innovation Leadership,"Mitsubishi's focus on leading technological innovation in heavy industries and advanced manufacturing","Tell me about a time when you led or contributed to a technological innovation that improved efficiency or capabilities in your work area.","Problem Solving","Medium","We lead technological innovation in heavy industries to improve efficiency and create advanced manufacturing capabilities.","Mitsubishi Heavy Industries","Innovation Report","2023"
Panasonic,Leadership,Contribution to Society,"Panasonic's corporate philosophy of contributing to society through innovative products and solutions","Tell me about a time when you developed or worked on a solution that had clear societal benefits beyond just business value. How did this purpose motivate your approach?","Values","Hard","Our mission is contributing to society through innovative products and solutions that improve people's lives.","Kazuhiro Tsuga","Panasonic Philosophy","2017"
Panasonic,Mid Level,Quality and Reliability Focus,"Panasonic's commitment to creating products that customers can rely on for years through superior quality","Tell me about a time when you chose to over-engineer or add extra quality measures to ensure long-term reliability, even when it increased costs.","Values","Medium","We build products that customers can rely on for years, prioritizing quality and reliability over cost reduction.","Panasonic","Quality Management","2021"
Panasonic,Entry Level,Customer-Centric Innovation,"Panasonic's approach of developing technology based on deep understanding of customer lifestyle needs","Tell me about a time when you studied customer behavior or needs deeply before developing a solution, rather than starting with available technology.","Problem Solving","Easy","Innovation must be customer-centric, based on deep understanding of how people live and what they really need.","Panasonic","Customer Research Report","2022"
KDDI,Leadership,Connecting Society Philosophy,"KDDI's mission of connecting people and society through advanced telecommunications technology","Tell me about a time when you worked on a project that helped connect people or communities in meaningful ways. What impact did it have?","Values","Hard","Our mission is connecting people and society through advanced telecommunications technology that enables meaningful relationships.","Makoto Takahashi","KDDI Vision Statement","2020"
KDDI,Mid Level,Digital Transformation Leadership,"KDDI's role in leading Japan's digital transformation through 5G and IoT technologies","Tell me about a time when you helped an organization or team adopt new digital technologies that significantly improved their capabilities or efficiency.","Problem Solving","Medium","We lead Japan's digital transformation by providing 5G, IoT, and advanced technologies that revolutionize how people work and live.","KDDI","Digital Strategy","2022"
KDDI,Entry Level,Customer Experience Excellence,"KDDI's focus on delivering superior customer experience through reliable service and innovation","Tell me about a time when you improved a customer experience by identifying and resolving a pain point they were facing with your service.","Culture Fit","Easy","Superior customer experience comes from reliable service, continuous innovation, and deep understanding of customer needs.","KDDI","Customer Experience Report","2023"
Sharp,Leadership,One Sharp Philosophy,"Sharp's corporate philosophy of acting as one company globally while maintaining local responsiveness","Tell me about a time when you successfully coordinated with different teams or divisions to achieve a common goal that required unified action across organizational boundaries.","Leadership","Hard","One Sharp means acting as one company globally while maintaining responsiveness to local market needs and conditions.","Sharp Corporation","Corporate Philosophy","2019"
Sharp,Mid Level,Technology Innovation Focus,"Sharp's commitment to developing innovative display and electronic technologies that enhance user experiences","Tell me about a time when you pushed the boundaries of existing technology to create a significantly better user experience.","Problem Solving","Medium","We develop innovative display and electronic technologies that fundamentally enhance how people interact with devices.","Sharp Corporation","Technology Strategy","2021"
Sharp,Entry Level,Quality Manufacturing Heritage,"Sharp's pride in Japanese manufacturing quality and attention to detail in all products","Tell me about a time when you paid exceptional attention to detail to ensure the highest quality outcome, even when others might have considered it unnecessary.","Values","Easy","Japanese manufacturing quality means paying attention to every detail to create products that exceed customer expectations.","Sharp Corporation","Manufacturing Excellence","2022"
Canon,Leadership,Kyosei Corporate Philosophy,"Canon's philosophy of living and working together for the common good of all people regardless of race, religion, or culture","Tell me about a time when you worked to create solutions that benefited diverse groups of people, ensuring no one was left behind or disadvantaged.","Values","Hard","Kyosei means living and working together for the common good of all people, regardless of race, religion, or culture.","Canon Inc.","Corporate Philosophy","2018"
Canon,Mid Level,Imaging Excellence Innovation,"Canon's commitment to advancing imaging technology to help people capture and preserve important moments","Tell me about a time when you helped someone capture, preserve, or share something important to them through technology or innovation.","Problem Solving","Medium","We advance imaging technology to help people capture, preserve, and share the moments that matter most to them.","Canon Inc.","Imaging Innovation","2021"
Canon,Entry Level,Environmental Consciousness,"Canon's commitment to reducing environmental impact through product design and manufacturing processes","Tell me about a time when you found ways to reduce environmental impact in your work while maintaining or improving quality and efficiency.","Values","Easy","Environmental consciousness guides our product design and manufacturing to reduce impact while maintaining superior quality.","Canon Inc.","Environmental Report","2023"
Kirin,Leadership,Creating Shared Value,"Kirin's philosophy of creating value that benefits both business success and societal wellbeing","Tell me about a time when you developed a solution that created value for your organization while also generating positive social or environmental impact.","Values","Hard","We create shared value that benefits both our business success and the wellbeing of society and the environment.","Yoshinori Isozaki","Kirin Holdings Philosophy","2019"
Kirin,Mid Level,Quality Craftsmanship Tradition,"Kirin's dedication to traditional Japanese craftsmanship combined with modern innovation in beverage production","Tell me about a time when you combined traditional methods or principles with modern innovation to achieve superior results.","Problem Solving","Medium","Our beverages combine traditional Japanese craftsmanship with modern innovation to deliver exceptional quality and taste.","Kirin Holdings","Quality Philosophy","2021"
Kirin,Entry Level,Health and Wellbeing Focus,"Kirin's commitment to promoting health and wellbeing through responsible product development","Tell me about a time when you considered health and wellness implications when developing or improving a product or service.","Values","Easy","We promote health and wellbeing through responsible product development that considers the impact on people's lives.","Kirin Holdings","Health Strategy","2022"
Asahi,Leadership,Quality Commitment Excellence,"Asahi's unwavering commitment to quality that has made it a trusted brand across generations","Tell me about a time when you maintained uncompromising quality standards even when facing pressure to cut corners or reduce costs.","Values","Hard","Quality is our unwavering commitment that has made Asahi a trusted brand across generations of consumers.","Atsushi Katsuki","Asahi Group Philosophy","2020"
Asahi,Mid Level,Innovation in Tradition,"Asahi's approach of innovating within traditional categories while respecting heritage and consumer expectations","Tell me about a time when you successfully innovated within established traditions or practices without losing the essential characteristics that people valued.","Problem Solving","Medium","We innovate within traditional categories while respecting heritage and maintaining what consumers have always valued about our products.","Asahi Group","Innovation Strategy","2022"
Asahi,Entry Level,Consumer-First Thinking,"Asahi's philosophy of always putting consumer preferences and satisfaction at the center of business decisions","Tell me about a time when you changed your approach to a project based on consumer feedback or preferences, even when it meant more work for you.","Culture Fit","Easy","Consumer satisfaction is at the center of every decision we make, from product development to customer service.","Asahi Group","Consumer Focus","2023"
Uniqlo,Leadership,Made for All Philosophy,"Tadashi Yanai's vision of creating clothing that transcends boundaries of age, gender, and culture","Tell me about a time when you designed or developed a solution that was truly inclusive and could serve diverse populations with different needs.","Leadership","Hard","We create clothing that transcends boundaries of age, gender, and culture - Made for All means exactly that.","Tadashi Yanai","Uniqlo Global Vision","2018"
Uniqlo,Mid Level,Continuous Innovation Culture,"Uniqlo's commitment to continuous innovation in fabric technology and garment design","Tell me about a time when you continuously improved a product or process through multiple iterations based on user feedback and new insights.","Problem Solving","Medium","Continuous innovation in fabric technology and design allows us to constantly improve comfort, functionality, and style.","Fast Retailing","Innovation Report","2021"
Uniqlo,Entry Level,Customer Lifestyle Understanding,"Uniqlo's approach of deeply understanding customer lifestyles to create clothing that fits their daily needs","Tell me about a time when you studied how people actually use a product or service in their daily lives to make meaningful improvements.","Problem Solving","Easy","We deeply understand customer lifestyles to create clothing that truly fits their daily needs and enhances their lives.","Uniqlo","Customer Research","2022"
Sea Limited,Leadership,Gaming to Super-App Vision,"Forrest Li's strategy of building from gaming success to create a comprehensive digital ecosystem","Tell me about a time when you leveraged success in one area to expand into new domains, creating synergies between different business areas.","Leadership","Hard","We built from gaming success to create a comprehensive digital ecosystem that serves multiple aspects of users' lives.","Forrest Li","Sea Limited Strategy","2020"
Sea Limited,Mid Level,Localization Excellence,"Sea Limited's approach of deeply understanding and adapting to local markets across Southeast Asia","Tell me about a time when you successfully adapted a global product or service to meet specific local market requirements and cultural preferences.","Problem Solving","Medium","Deep localization means understanding and adapting to each market's unique culture, preferences, and business environment.","Sea Limited","Regional Strategy","2021"
Sea Limited,Entry Level,User-Centric Development,"Sea Limited's focus on building products that genuinely serve user needs across gaming, e-commerce, and fintech","Tell me about a time when you prioritized user needs over internal metrics or preferences when making product decisions.","Culture Fit","Easy","Everything we build must genuinely serve user needs, whether in gaming, e-commerce, or digital financial services.","Sea Limited","Product Philosophy","2022"
OCBC Bank,Leadership,Relationship Banking Excellence,"OCBC's philosophy of building lasting relationships with customers through personalized service and understanding","Tell me about a time when you built a lasting professional relationship by taking the time to deeply understand someone's needs and providing personalized service.","Culture Fit","Hard","Relationship banking means building lasting partnerships with customers through personalized service and deep understanding of their needs.","Helen Wong","OCBC Banking Philosophy","2019"
OCBC Bank,Mid Level,Digital Innovation Leadership,"OCBC's commitment to leading digital banking innovation while maintaining human touch in customer service","Tell me about a time when you successfully implemented digital innovation while ensuring that personal service and human connections remained strong.","Problem Solving","Medium","We lead digital banking innovation while maintaining the human touch that makes banking personal and trustworthy.","OCBC Bank","Digital Strategy","2021"
OCBC Bank,Entry Level,Community Development Focus,"OCBC's commitment to contributing to community development and economic growth in Southeast Asia","Tell me about a time when you contributed to community development or helped support local economic growth through your work.","Values","Easy","We contribute to community development and economic growth, helping build stronger communities across Southeast Asia.","OCBC Bank","Community Impact Report","2022"
UOB Bank,Leadership,Doing Right Philosophy,"UOB's commitment to doing right by all stakeholders through ethical banking practices and responsible growth","Tell me about a time when you chose to do the right thing for all stakeholders even when it meant sacrificing short-term advantages.","Values","Hard","Doing Right means making decisions that benefit all stakeholders through ethical practices and responsible growth.","Wee Ee Cheong","UOB Philosophy","2020"
UOB Bank,Mid Level,Regional Connectivity Vision,"UOB's strategy of connecting businesses and communities across Asia through comprehensive banking services","Tell me about a time when you helped connect different groups or organizations to create mutually beneficial relationships or opportunities.","Leadership","Medium","We connect businesses and communities across Asia, creating networks that enable mutual growth and success.","UOB Bank","Regional Strategy","2022"
UOB Bank,Entry Level,Customer Success Partnership,"UOB's approach of partnering with customers to achieve their business and personal financial goals","Tell me about a time when you worked closely with someone to help them achieve their goals, treating their success as your own responsibility.","Culture Fit","Easy","We partner with customers to achieve their goals, treating their success as our responsibility and measure of our own success.","UOB Bank","Customer Partnership","2023"
Maybank,Leadership,Humanising Financial Services,"Maybank's mission to humanize financial services by making banking more accessible, personal, and meaningful","Tell me about a time when you made a typically impersonal process more human and meaningful for the people involved.","Culture Fit","Hard","We humanize financial services by making banking more accessible, personal, and meaningful for every customer.","Abdul Farid Alias","Maybank Vision","2020"
Maybank,Mid Level,Islamic Banking Leadership,"Maybank's commitment to leading Islamic banking innovation while serving diverse communities","Tell me about a time when you developed solutions that served diverse communities with different values and requirements while maintaining consistent quality.","Leadership","Medium","We lead Islamic banking innovation while serving diverse communities, respecting different values while maintaining excellence.","Maybank Islamic","Islamic Banking Strategy","2021"
Maybank,Entry Level,Community Impact Focus,"Maybank's emphasis on creating positive impact in the communities where they operate","Tell me about a time when you ensured that your work created positive impact in your local community or for the people you served.","Values","Easy","Creating positive impact in our communities is fundamental to our purpose and guides everything we do.","Maybank","Community Impact Report","2022"
Singtel,Leadership,Digital Life Enablement,"Singtel's vision of enabling digital life experiences that connect people, businesses, and communities","Tell me about a time when you helped people or organizations connect in ways that significantly improved their ability to collaborate or achieve their goals.","Leadership","Hard","We enable digital life experiences that meaningfully connect people, businesses, and communities across the region.","Yuen Kuan Moon","Singtel Digital Vision","2021"
Singtel,Mid Level,Network Excellence Innovation,"Singtel's commitment to building world-class network infrastructure that supports digital transformation","Tell me about a time when you built or improved infrastructure that enabled others to achieve things they couldn't do before.","Problem Solving","Medium","World-class network infrastructure is the foundation that enables digital transformation for businesses and individuals.","Singtel","Network Strategy","2022"
Singtel,Entry Level,Customer Experience Innovation,"Singtel's focus on continuously innovating customer experiences through digital solutions","Tell me about a time when you used digital tools or solutions to significantly improve a customer's experience with your service.","Problem Solving","Easy","We continuously innovate customer experiences, using digital solutions to make interactions simpler, faster, and more valuable.","Singtel","Customer Experience","2023"
CP Group,Leadership,Sustainable Agriculture Innovation,"CP Group's commitment to sustainable agriculture practices that feed the world while protecting the environment","Tell me about a time when you developed or implemented a solution that achieved business objectives while also protecting or improving environmental conditions.","Values","Hard","Sustainable agriculture means feeding the world while protecting the environment for future generations.","Suphachai Chearavanont","CP Group Sustainability","2020"
CP Group,Mid Level,Food Security Mission,"CP Group's focus on ensuring food security through efficient production and distribution systems","Tell me about a time when you worked on improving efficiency in production or distribution to ensure resources reached those who needed them most.","Problem Solving","Medium","Food security requires efficient production and distribution systems that ensure nutrition reaches everyone who needs it.","CP Group","Food Security Strategy","2021"
CP Group,Entry Level,Community Partnership Approach,"CP Group's philosophy of partnering with local communities to create mutual value and sustainable development","Tell me about a time when you partnered with a local community or group to create value that benefited both your organization and the community.","Teamwork","Easy","We partner with local communities to create mutual value and sustainable development that benefits everyone involved.","CP Group","Community Partnership","2022"
Wilmar International,Leadership,Sustainable Supply Chain Leadership,"Wilmar's commitment to leading sustainable practices throughout agricultural commodity supply chains","Tell me about a time when you led improvements in sustainability practices across a complex supply chain or multi-stakeholder system.","Leadership","Hard","We lead sustainable practices throughout agricultural supply chains, ensuring environmental protection and social responsibility.","Kuok Khoon Hong","Wilmar Sustainability","2019"
Wilmar International,Mid Level,Agricultural Innovation Focus,"Wilmar's investment in agricultural technology and innovation to improve productivity while reducing environmental impact","Tell me about a time when you applied technology or innovation to improve productivity while simultaneously reducing negative environmental impacts.","Problem Solving","Medium","Agricultural innovation must improve productivity while reducing environmental impact to create truly sustainable food systems.","Wilmar International","Innovation Strategy","2021"
Wilmar International,Entry Level,Stakeholder Engagement Excellence,"Wilmar's approach of engaging with all stakeholders to ensure sustainable and responsible business practices","Tell me about a time when you successfully engaged with multiple stakeholders with different interests to achieve a solution that worked for everyone.","Teamwork","Easy","Sustainable business requires engaging all stakeholders to understand their needs and create solutions that work for everyone.","Wilmar International","Stakeholder Report","2022"
Genting,Leadership,Entertainment Innovation Vision,"Genting's philosophy of creating innovative entertainment experiences that bring joy and excitement to guests","Tell me about a time when you created an innovative experience that brought genuine joy or excitement to people, going beyond their basic expectations.","Leadership","Hard","We create innovative entertainment experiences that bring joy and excitement, making lasting memories for our guests.","Lim Kok Thay","Genting Vision","2020"
Genting,Mid Level,Integrated Resort Excellence,"Genting's approach of integrating multiple entertainment, hospitality, and leisure offerings into cohesive experiences","Tell me about a time when you successfully integrated different services or offerings to create a more valuable overall experience for customers.","Problem Solving","Medium","Integrated resort excellence means combining entertainment, hospitality, and leisure into cohesive experiences that exceed expectations.","Genting Group","Resort Strategy","2021"
Genting,Entry Level,Guest Satisfaction Priority,"Genting's commitment to prioritizing guest satisfaction through exceptional service and attention to detail","Tell me about a time when you went above and beyond to ensure someone had an exceptional experience, paying attention to details they might not have expected.","Culture Fit","Easy","Guest satisfaction is our priority, achieved through exceptional service and attention to details that create memorable experiences.","Genting Group","Service Excellence","2022"
Advanced Info Service,Leadership,Digital Thailand Leadership,"AIS's mission to lead Thailand's digital transformation through advanced telecommunications infrastructure","Tell me about a time when you led a technology transformation project that significantly improved capabilities for a large group of people or an organization.","Leadership","Hard","We lead Thailand's digital transformation by providing advanced telecommunications infrastructure that enables innovation and growth.","Somchai Lertsutiwong","AIS Digital Strategy","2021"
Advanced Info Service,Mid Level,Customer-Centric Innovation,"AIS's focus on developing services based on deep understanding of Thai customer behavior and preferences","Tell me about a time when you developed a service or solution based on deep cultural understanding and local customer preferences.","Problem Solving","Medium","Customer-centric innovation means deeply understanding Thai culture and preferences to develop services that truly meet local needs.","Advanced Info Service","Customer Strategy","2022"
Advanced Info Service,Entry Level,Connectivity for All Vision,"AIS's commitment to providing reliable connectivity that enables opportunities for all Thai people","Tell me about a time when you worked to make a service or opportunity more accessible to people who previously couldn't access it.","Values","Easy","Connectivity for all means ensuring reliable telecommunications access that creates opportunities for every Thai citizen.","Advanced Info Service","Social Impact","2023"
True Corporation,Leadership,Digital Transformation Excellence,"True's leadership in driving Thailand's digital transformation through innovative telecommunications and digital services","Tell me about a time when you led a digital transformation initiative that fundamentally changed how people work or interact with technology.","Leadership","Hard","We drive Thailand's digital transformation by providing innovative telecommunications and digital services that change how people live and work.","Suphachai Chearavanont","True Corporation Strategy","2021"
True Corporation,Mid Level,Customer Experience Innovation,"True's focus on continuously improving customer experience through technology and service innovation","Tell me about a time when you used technology to solve a customer problem in a way that exceeded their expectations.","Problem Solving","Medium","Customer experience innovation means using technology to solve problems and create value in ways customers didn't expect.","True Corporation","Customer Experience","2022"
True Corporation,Entry Level,Digital Inclusion Mission,"True's commitment to ensuring digital services are accessible to all segments of Thai society","Tell me about a time when you worked to make digital technology more accessible to people who might otherwise be excluded.","Values","Easy","Digital inclusion means ensuring our services are accessible to all segments of society, regardless of their background or location.","True Corporation","Digital Inclusion","2023"
Axiata,Leadership,Digital Champions Vision,"Axiata's mission to be Digital Champions across Asia by connecting and empowering communities through technology","Tell me about a time when you championed the use of digital technology to empower a community or group of people to achieve more than they could before.","Leadership","Hard","We are Digital Champions, connecting and empowering communities across Asia through technology that transforms lives.","Tan Sri Jamaludin Ibrahim","Axiata Vision","2020"
Axiata,Mid Level,Sustainable Connectivity Focus,"Axiata's commitment to providing sustainable telecommunications infrastructure that serves diverse Asian markets","Tell me about a time when you balanced business sustainability with the need to serve diverse or challenging markets.","Problem Solving","Medium","Sustainable connectivity means building infrastructure that serves diverse markets while maintaining long-term business viability.","Axiata Group","Sustainability Strategy","2021"
Axiata,Entry Level,Customer-Centric Innovation,"Axiata's approach of putting customer needs at the center of all technology and service development","Tell me about a time when you redesigned a service or process based on direct feedback from customers about their real needs.","Culture Fit","Easy","Customer-centric innovation means putting customer needs at the center of everything we develop and deliver.","Axiata Group","Customer Focus","2022"
Bukalapak,Leadership,Democratizing Commerce,"Bukalapak's mission to democratize commerce by empowering small businesses and communities through technology","Tell me about a time when you used technology to empower small businesses or individuals who previously lacked access to opportunities.","Values","Hard","We democratize commerce by empowering small businesses and communities through technology that levels the playing field.","Rachmat Kaimuddin","Bukalapak Mission","2019"
Bukalapak,Mid Level,Local Business Empowerment,"Bukalapak's focus on empowering local Indonesian businesses to compete in the digital economy","Tell me about a time when you helped local businesses adopt digital tools or processes that significantly improved their competitiveness.","Problem Solving","Medium","Local business empowerment means helping Indonesian businesses harness digital tools to compete and thrive in the modern economy.","Bukalapak","Local Business Strategy","2021"
Bukalapak,Entry Level,Community-Driven Development,"Bukalapak's approach of developing solutions based on real community needs and feedback","Tell me about a time when you developed a solution by first deeply understanding the specific needs of a community or user group.","Problem Solving","Easy","Community-driven development means creating solutions based on real community needs rather than assumptions about what people want.","Bukalapak","Community Development","2022"
