name,title,company,quote,skill_category,source_url,date_accessed
Chris Caplice,Executive Director,MIT Center for Transportation and Logistics,"AI is a moving target. What was considered AI 30 years ago — even 20 years ago — is not considered cutting-edge AI anymore.",Adaptability,https://mitsloan.mit.edu/ideas-made-to-matter/how-artificial-intelligence-transforming-logistics,2025-01-18
Dave Waters,Supply Chain & AI Thought Leader,Author,"Artificial Intelligence will be rampant in the digital supply chain. Self-driving vehicles automatically choosing the most efficient route… Artificial Intelligence will dramatically improve logistics.",AI Integration,https://www.supplychaintoday.com/artificial-intelligence-supply-chain/,2025-01-18
Jonathan Byrnes,Senior Lecturer,MIT,"Many supply chains are perfectly suited to the needs that the business had 20 years ago.",Adaptability,https://digitaldefynd.com/IQ/motivational-supply-chain-management-quotes/,2025-01-18
RDML Kristen Fabry,U.S. Navy Rear Admiral,U.S. Navy,"Supply Chain is the science. Logistics is the art.",Strategic Thinking,https://www.supplychaintoday.com/supply-chain-quotes/,2025-01-18
John Carlin,Former Assistant Attorney General,U.S. DOJ,"Crisis is not the time to decide your breach response strategy.",Strategic Planning,https://solutionsreview.com/security-information-event-management/cybersecurity-awareness-month-quotes-from-industry-experts/,2025-01-18
Javvad Malik,Security Awareness Advocate,KnowBe4,"The weakest link isn't your system—it's the user who clicks without thinking.",Critical Thinking,https://digitaldefynd.com/IQ/inspirational-cybersecurity-quotes/,2025-01-18
Dr. Jessica Vitak,Associate Professor,University of Maryland,"The best security policies are ones that people actually follow.",Human Behavior,https://solutionsreview.com/security-information-event-management/cybersecurity-awareness-month-quotes-from-industry-experts/,2025-01-18
Andy Ellis,Former CSO,Akamai Technologies,"You can outsource operations but not responsibility.",Leadership Accountability,https://www.cyberrescue.co.uk/library/quotes,2025-01-18
Frank Kim,Fellow SANS Institute,SANS Institute,"Cybersecurity leadership means aligning technical risk with business value.",Business Acumen,https://huntsmansecurity.com/blog/quotes-front-line-cyber-security-data-protection/,2025-01-18
Greg Gottesman,Managing Director,Pioneer Square Labs,"The opportunity here smacks you in the face with a sledgehammer.",Market Analysis,https://www.geekwire.com/2025/can-seattle-own-the-ai-era-we-asked-20-investors-and-founders-to-weigh-the-citys-startup-potential/,2025-01-18
David Coats,Co-founder and Managing Director,Correlation Ventures,"We commit to making investment decisions in under two weeks but we have done so in less than 24 hours.",Decision Making,https://visible.vc/blog/ai-tools-for-venture-capital/,2025-01-18
Clint Korver,Managing Director,Ulu Ventures,"The AI is basically reinforcing the existing perspective of the data that it has been trained on. Venture capital is literally decades behind almost every other asset class in terms of sophistication in collecting data evaluating risks and building portfolios.",Critical Thinking,https://www.affinity.co/guides/vc-ai-tools,2025-01-18
Andre Retterath,Partner,Earlybird Ventures,"We've seen that we can leverage AI across the tech stack so for every single task that we do we can use AI to become more efficient more effective and also leverage data-driven approaches and AI to become more inclusive.",AI Integration,https://www.4degrees.ai/blog/venture-capital-due-diligence-guide,2025-01-18
Paul Ostergaard,CEO and Founder,Norwood Systems,"By partnering with Microsoft Norwood Systems is pushing the boundaries of innovation in telecommunications. Leveraging Azure AI in our cutting-edge solutions we're empowering telecoms operators to unlock new revenue streams elevate customer engagement and deliver next-generation experiences.",Innovation,https://www.microsoft.com/en-us/industry/blog/telecommunications/2024/10/01/transforming-telecoms-with-ai/,2025-01-18
Haisung Kwon,Head of MNO AI Platforms,SK Telecom,"Through our collaboration with Dell Technologies we aim to accelerate AI adoption and innovation to deliver superior service and value to our customers.",Customer Focus,https://www.dell.com/en-us/dt/corporate/newsroom/announcements/detailpage.press-releases~usa~2024~09~telecommunications-into-the-ai-era.htm,2025-01-18
Ronnie Vasishta,Senior Vice President Telecom,NVIDIA,"Telecom networks provide a critical fabric to bring AI applications to consumers and enterprises at scale. With NVIDIA's AI suite Dell is accelerating the adoption of AI factories AI-powered operations and AI-RAN in telecom.",Systems Thinking,https://www.dell.com/en-us/dt/corporate/newsroom/announcements/detailpage.press-releases~usa~2024~09~telecommunications-into-the-ai-era.htm,2025-01-18
