company,question,difficulty,question_type,skills_assessed,corpdev_level,source
General,"Due diligence reveals that the target company's financial controls have material weaknesses but their growth trajectory is compelling. How do you balance growth potential with operational risk?",Senior,Due Diligence,Due Diligence & Risk Assessment,Director,Interview
General,"A venture investment has strong unit economics but the market size estimates vary widely across different research sources. How do you develop conviction on addressable market?",Senior,Venture Investing,Strategic Analysis & Planning,Manager,Interview
General,"Your acquisition target's employee equity program has unusual vesting terms that could create retention challenges post-closing. How do you restructure compensation to maintain talent?",Senior,M&A Strategy,Stakeholder Management & Communication,Director,Interview
General,"Integration of your acquisition requires coordinating with multiple external partners who have different integration capabilities and timelines. How do you orchestrate this ecosystem change?",Senior,Integration Management,Stakeholder Management & Communication,Manager,Interview
General,"A strategic partnership requires co-investing in infrastructure but the investment timeline extends beyond your current strategic planning cycle. How do you evaluate long-term resource commitment?",Senior,Partnership Development,Strategic Analysis & Planning,Director,Interview
General,"Due diligence shows the target's competitive position is strengthening but their cash flow profile suggests they'll need additional funding within 12 months. How do you factor this financing need into your offer?",Senior,Due Diligence,Financial Modeling & Valuation,Manager,Interview
General,"You're evaluating an acquisition where the target's management wants to pursue a different strategic direction than your integration plans. How do you align vision and execution?",Senior,Investment Analysis,Stakeholder Management & Communication,Director,Interview
General,"A potential joint venture would combine complementary capabilities but both organizations have strong cultures that resist collaboration. How do you design governance to drive cooperation?",Senior,Strategic Alliances,Stakeholder Management & Communication,Manager,Interview
General,"Your venture investment target has developed platform technology that could serve multiple industries but management wants to focus on just one vertical. How do you balance focus with optionality?",Senior,Venture Investing,Strategic Analysis & Planning,Director,Interview
General,"Integration planning shows that achieving cost synergies requires consolidating facilities across different geographic regions with varying labor regulations. How do you navigate this complexity?",Senior,Integration Management,Integration Planning & Management,Manager,Interview
General,"Due diligence reveals the target company's growth has been supported by unusually favorable contract terms that may not be renewable. How do you assess the sustainability of their business model?",Senior,Due Diligence,Strategic Analysis & Planning,Director,Interview
